Restaurant,Location,Gener,Price,Google Map
源一自助餐,校內-一餐,自助餐,2,https://maps.app.goo.gl/4WmiudjkdLEYJU3KA
二餐早餐店,校內-二餐,早餐,2,
蘿西媽媽,德明路,早餐,2,https://maps.app.goo.gl/748nU2nfY17ksCQj9
山東手工水餃館,德明路,麵類,3,https://maps.app.goo.gl/4yfY59gotScrFqUu9
山東手工水餃館,德明路,飯類,3,https://maps.app.goo.gl/4yfY59gotScrFqUu9
山東手工水餃館,德明路,水餃,3,https://maps.app.goo.gl/4yfY59gotScrFqUu9
源一滷味,校內-一餐,滷味,2,https://maps.app.goo.gl/4WmiudjkdLEYJU3KA
里吉拿,德明路,義式料理,3,https://maps.app.goo.gl/4zaFKmJkoQ1w5tyo9
哈堡堡輕食早午餐,德明路,早餐,3,https://maps.app.goo.gl/qQyFP3zvTcr5r2RPA
Q Burger,德明路,早餐,3,https://maps.app.goo.gl/EafbMoCgsTVsrff69
傳承,校內-二餐,麵類,3,https://maps.app.goo.gl/5PFk45hiWG88ytC96
傳承,校內-二餐,飯類,3,https://maps.app.goo.gl/5PFk45hiWG88ytC96
傳承,校內-二餐,日式料理,3,https://maps.app.goo.gl/5PFk45hiWG88ytC96
亂煮(二餐泡麵店),校內-二餐,麵類,2,
運事通,校內-一餐,便當/快餐,2,
玖號食堂,德明路,麵類,2,https://maps.app.goo.gl/FdugvsPk13RETBgU9
玖號食堂,德明路,飯類,2,https://maps.app.goo.gl/FdugvsPk13RETBgU9
水引麵鋪,校內-一餐,麵類,2,
心悅食典-一餐,校內-一餐,自助餐,3,
心悅食典-二餐,校內-二餐,自助餐,3,
風語餐坊,校內-一餐,義式料理,3,
日式魔法屋,明德路,日式料理,3,https://maps.app.goo.gl/tvmDXnmHnjH3WgeR9
FREEDAY,明德路,義式料理,3,https://maps.app.goo.gl/SUn4qPk3k5PyjZfG6
拉亞漢堡,大同路,早餐,3,https://maps.app.goo.gl/FLn2tEsWrvzpme569
鬼匠拉麵,大同路,麵類,3,https://maps.app.goo.gl/G3CcrKMWyBNhSyg38
鬼匠拉麵,大同路,拉麵,3,https://maps.app.goo.gl/G3CcrKMWyBNhSyg38
鬼匠拉麵,大同路,日式料理,3,https://maps.app.goo.gl/G3CcrKMWyBNhSyg38
11番町豚骨拉麵,大同路,日式料理,3,https://maps.app.goo.gl/oE5tU8qJzcfo67pv5
11番町豚骨拉麵,大同路,拉麵,3,https://maps.app.goo.gl/oE5tU8qJzcfo67pv5
11番町豚骨拉麵,大同路,麵類,3,https://maps.app.goo.gl/oE5tU8qJzcfo67pv5
11番町豚骨拉麵,大同路,飯類,3,https://maps.app.goo.gl/oE5tU8qJzcfo67pv5
小判 拉麵專門店,明德路,拉麵,3,https://maps.app.goo.gl/ttq69h7ngPW1q7bM9
醇滷味銘傳店,德明路,滷味,3,https://maps.app.goo.gl/Fkys3GU5qkKFEuRs5
